State,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21
Alabama,210400,210400,"167,100","164,900","107,000","128,200","140,600","143,300","145,200","145,000","147,800","150,500","152,700","151,000","154,700","155,200","155,300","158,600","162,000"
Alaska,36100,36300,"20,100","19,700","11,700","15,200","17,800","18,600","18,000","17,800","16,900","16,400","14,700","15,600","15,900","16,100","16,600","18,200","18,400"
Arizona,337000,336600,"246,300","240,600","149,300","183,200","201,900","192,300","195,600","201,700","208,300","210,800","210,800","212,800","217,200","222,600","226,300","229,400","230,300"
Arkansas,120000,120500,"96,500","95,900","62,600","76,600","83,200","85,600","87,700","88,700","88,700","90,600","89,100","87,100","85,000","87,400","89,900","91,200","92,500"
California,2047300,2055100,"1,459,100","1,413,200","789,700","881,500","1,044,400","1,038,500","1,042,800","1,065,800","1,098,900","1,097,300","1,019,100","949,300","1,043,500","1,083,900","1,129,700","1,168,700","1,201,000"
Colorado,346400,345700,"234,500","228,300","125,400","148,100","183,700","195,300","200,500","200,400","198,700","193,800","171,400","187,800","199,000","200,100","207,700","213,800","223,600"
Connecticut,155900,156000,"114,200","108,800","49,700","62,700","77,500","87,900","91,600","94,700","97,400","94,500","93,500","89,600","90,500","94,400","97,100","102,000","104,100"
Delaware,53200,53100,"35,500","34,500","17,000","20,800","29,900","32,500","32,700","32,300","32,200","31,100","29,700","28,700","28,600","29,500","31,200","34,100","37,900"
District of Columbia,81300,81200,"53,700","51,500","18,800","21,700","24,100","26,300","26,800","27,500","28,700","28,500","27,000","24,400","26,300","28,100","31,400","32,600","36,600"
Florida,1269700,1277500,"839,400","822,500","458,200","586,200","660,700","652,200","650,100","660,300","681,800","698,300","701,400","699,700","718,900","733,200","732,200","740,500","756,300"
Georgia,505800,507800,"395,400","385,300","235,400","289,800","325,400","324,100","329,900","331,900","338,800","339,200","344,900","335,700","343,700","347,800","345,900","352,300","356,600"
Hawaii,127500,127900,"69,800","68,700","32,000","34,400","41,200","42,500","42,300","37,000","40,300","43,600","47,400","47,300","48,500","50,400","52,200","53,700","55,200"
Idaho,84300,84700,"59,200","58,900","37,300","46,900","55,800","57,500","58,000","57,900","58,600","57,900","57,300","56,900","57,500","58,300","60,000","61,200","63,800"
Illinois,624400,625600,"463,300","448,200","259,200","284,800","319,800","364,200","374,800","371,600","373,300","343,300","323,600","317,600","341,300","358,500","372,400","387,300","399,400"
Indiana,309600,312800,"244,100","238,000","144,200","183,800","206,600","216,100","220,200","219,100","221,700","218,100","217,200","212,700","214,100","217,300","218,500","223,200","227,900"
Iowa,147500,146900,"99,700","98,100","55,900","72,300","85,500","89,500","89,900","89,200","90,400","88,500","86,700","80,700","82,400","85,700","88,600","91,700","93,900"
Kansas,132300,132600,"100,500","98,700","62,100","78,800","87,500","89,600","90,700","90,400","92,800","91,100","90,500","88,900","90,700","93,200","95,100","96,200","97,100"
